Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
18,143415,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G798,Coastal Live Oak - Hickory - Palmetto Forest,4210,Atlantic Coastal Plain Central Maritime Forest,1.B.1.NaM885G798E18
19,1776910,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G798,Coastal Live Oak - Hickory - Palmetto Forest,4212,Atlantic Coastal Plain Southern Maritime Forest,1.B.1.NaM885G798E19
20,3550697,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G799,Texas Live Oak - Wax Mallow Motte & Coastal Forest,4136,Central and South Texas Coastal Fringe Forest and Woodland,1.B.1.NaM885G799E20
21,487514,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M008,Southern Mesic Mixed Broadleaf Forest,G166,Southern Mesic Beech - Oak - Mixed Deciduous Forest,4102,East Gulf Coastal Plain Limestone Forest,1.B.1.NaM008G166E21
22,250621,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G798,Coastal Live Oak - Hickory - Palmetto Forest,4150,East Gulf Coastal Plain Maritime Forest,1.B.1.NaM885G798E22
23,2053596,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M008,Southern Mesic Mixed Broadleaf Forest,G007,Southern Mesic Beech - Magnolia - Oak Forest,4129,East Gulf Coastal Plain Southern Loess Bluff Forest,1.B.1.NaM008G007E23
24,2540291,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M008,Southern Mesic Mixed Broadleaf Forest,G007,Southern Mesic Beech - Magnolia - Oak Forest,4209,East Gulf Coastal Plain Southern Mesic Slope Forest,1.B.1.NaM008G007E24
25,15353,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G798,Coastal Live Oak - Hickory - Palmetto Forest,4153,Mississippi Delta Maritime Forest,1.B.1.NaM885G798E25
26,1985676,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G790,Southern Evergreen Oak Forest,4130,Southern Coastal Plain Dry Upland Hardwood Forest,1.B.1.NaM885G790E26
27,1094683,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G790,Southern Evergreen Oak Forest,4146,Southern Coastal Plain Oak Dome and Hammock,1.B.1.NaM885G790E27
28,48880,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M885,Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest,G798,Coastal Live Oak - Hickory - Palmetto Forest,4137,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,1.B.1.NaM885G798E28
29,8054554,0.16078,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M008,Southern Mesic Mixed Broadleaf Forest,G007,Southern Mesic Beech - Magnolia - Oak Forest,4204,West Gulf Coastal Plain Mesic Hardwood Forest,1.B.1.NaM008G007E29
30,1202657,0.39216,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G013,Western Gulf Coastal Plain Pine - Oak Forest & Woodland,4541,East-Central Texas Plains Pine Forest and Woodland,1.B.2.NaM016G013E30
31,26859869,0.39216,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G013,Western Gulf Coastal Plain Pine - Oak Forest & Woodland,4332,West Gulf Coastal Plain Pine-Hardwood Forest,1.B.2.NaM016G013E31
32,1977181,0.39216,0.74902,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G013,Western Gulf Coastal Plain Pine - Oak Forest & Woodland,4336,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,1.B.2.NaM016G013E32
33,3308087,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,4504,Atlantic Coastal Plain Fall-Line Sandhills Longleaf Pine Woodland - Loblolly Modifier,1.B.1.NaM305G031E33
34,6614443,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,8201,Deciduous Plantations,1.B.1.NaM305G031E34
35,71,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,4507,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Loblolly Modifier,1.B.1.NaM305G031E35
36,30129266,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,4501,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Offsite Hardwood Modifier,1.B.1.NaM305G031E36
37,1335367,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,9902,East Gulf Coastal Plain Near-Coast Pine Flatwoods - Offsite Hardwood Modifier,1.B.1.NaM305G031E37
38,138840232,0.65882,0.74902,0.17647,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M305,Southeastern North American Ruderal Forest,G031,Southeastern Native Ruderal Forest,8202,Evergreen Plantation or Managed Pine,1.B.1.NaM305G031E38
39,12519035,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,5501,California Central Valley Mixed Oak Savanna,1.B.1.NcM009G195E39
40,390651,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G198,Californian Conifer Forest & Woodland,4545,California Coastal Closed-Cone Conifer Forest and Woodland,1.B.1.NcM009G198E40
41,4967451,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,5502,California Coastal Live Oak Woodland and Savanna,1.B.1.NcM009G195E41
42,18956371,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,5503,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,1.B.1.NcM009G195E42
43,283933,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,4511,Central and Southern California Mixed Evergreen Woodland,1.B.1.NcM009G195E43
44,6182058,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,1.B.1.NcM009G195E44
45,362595,0.12157,0.61176,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,5504,Southern California Oak Woodland and Savanna,1.B.1.NcM009G195E45
46,20363502,0,0.61176,0.56078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M010,Madrean Lowland Evergreen Woodland,G201,Madrean Encinal,4143,Madrean Encinal,1.B.1.NdM010G201E46
47,10399625,0,0.61176,0.56078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M010,Madrean Lowland Evergreen Woodland,G200,Madrean Pinyon - Juniper Woodland,4518,Madrean Pinyon-Juniper Woodland,1.B.1.NdM010G200E47
48,5169798,0.12157,0.61176,0.31373,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M011,Madrean Montane Forest & Woodland,G203,Madrean Lower Montane Pine - Oak Forest & Woodland,4315,Madrean Pine-Oak Forest and Woodland,1.B.1.NdM011G203E48
49,882532,0.12157,0.61176,0.31373,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M011,Madrean Montane Forest & Woodland,G202,Madrean Upper Montane Conifer - Oak Forest & Woodland,4316,Madrean Upper Montane Conifer-Oak Forest and Woodland,1.B.1.NdM011G202E49
50,4252301,0,0.61176,0.52157,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M015,Edwards Plateau Forest & Woodland,G126,Edwards Plateau Dry Forest & Woodland,4155,Edwards Plateau Dry-Mesic Slope Forest and Woodland,1.B.1.NdM015G126E50
51,32361979,0,0.61176,0.52157,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M015,Edwards Plateau Forest & Woodland,G126,Edwards Plateau Dry Forest & Woodland,4152,Edwards Plateau Limestone Savanna and Woodland,1.B.1.NdM015G126E51
52,222269,0,0.61176,0.52157,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M015,Edwards Plateau Forest & Woodland,G028,Edwards Plateau Dry-Mesic Hardwood Forest,4208,Edwards Plateau Mesic Canyon,1.B.1.NdM015G028E52
53,966723,0,0.61176,0.52157,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M015,Edwards Plateau Forest & Woodland,G126,Edwards Plateau Dry Forest & Woodland,7602,"Llano Uplift Acidic Forest, Woodland and Glade",1.B.1.NdM015G126E53
54,1497195,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G206,Cascadian Oregon White Oak - Conifer Forest & Woodland,4550,East Cascades Oak-Ponderosa Pine Forest and Woodland,1.B.2.NdM886G206E54
55,10379400,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G208,Californian Moist Coastal Mixed Evergreen Forest,4320,Mediterranean California Mixed Evergreen Forest,1.B.1.NcM009G208E55
56,3695541,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,4144,Mediterranean California Mixed Oak Woodland,1.B.1.NcM009G195E56
57,3400580,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G800,Southern Vancouverian Dry Douglas-fir - Madrone Woodland,4319,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,1.B.2.NdM886G800E57
58,1507411,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G206,Cascadian Oregon White Oak - Conifer Forest & Woodland,4110,North Pacific Oak Woodland,1.B.2.NdM886G206E58
59,43759439,0.52941,0.61176,0.36078,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central North American Grassland & Shrubland,M158,Great Plains Comanchian scrub & Open Vegetation,G191,Comanchian Oak - Juniver Scrub,5811,Edwards Plateau Limestone Shrubland,2.B.2.NbM158G191E59
60,51141367,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G015,Appalachian Oak / Chestnut Forest,4126,Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood,1.B.2.NaM502G015E60
61,1513855,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G015,Appalachian Oak / Chestnut Forest,4307,Allegheny-Cumberland Dry Oak Forest and Woodland - Pine Modifier,1.B.2.NaM502G015E61
62,2289663,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G015,Appalachian Oak / Chestnut Forest,4127,Central and Southern Appalachian Montane Oak Forest,1.B.2.NaM502G015E62
63,759577,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M883,Appalachian-Central Interior-Northeastern Mesic Forest,G742,Appalachian-Allegheny Northern Hardwood - Conifer Forest,4101,Central and Southern Appalachian Northern Hardwood Forest,1.B.2.NaM883G742E63
64,41558005,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G015,Appalachian Oak / Chestnut Forest,4330,Central Appalachian Oak and Pine Forest,1.B.2.NaM502G015E64
65,30545095,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G017,Cross Timbers & East-Central Texas Plains Oak Forest & Woodland,4118,Crosstimbers Oak Forest and Woodland,1.B.2.NaM016G017E65
66,42141,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G601,Chinquapin Oak - Shumard Oak - Blue Ash Alkaline Forest,4303,East Gulf Coastal Plain Black Belt Calcareous Prairie and Woodland - Woodland Modifier,1.B.2.NaM016G601E66
67,4480966,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G159,South-Central Interior Oak Forest & Woodland,4117,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,1.B.2.NaM016G159E67
68,3670877,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G159,South-Central Interior Oak Forest & Woodland,4103,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland - Hardwood Modifier,1.B.2.NaM016G159E68
69,546855,0.14902,0.67843,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M016,Southern & South-Central Oak - Hickory - Pine Forest & Woodland,G159,South-Central Interior Oak Forest & Woodland,4105,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland - Juniper Modifier,1.B.2.NaM016G159E69
